score,geracao
10,88
10,81
10,61
10,75
10,193
10,148
10,227
10,157
10,188
10,56
10,114
10,429
10,50
10,330
10,43
10,42
10,184
10,250
10,13
10,194
10,201
10,87
10,182
10,390
10,129
10,82
10,54
10,137
10,369
10,76
10,44
10,111
10,92
10,161
10,82
10,82
10,268
10,90
10,93
10,179
10,25
10,47
10,111
10,232
10,101
10,76
10,64
10,158
10,151
10,157
10,73
10,83
10,26
10,79
10,103
10,13
10,138
10,327
10,127
10,250
10,102
10,185
10,275
10,195
10,250
10,298
10,71
10,113
10,52
10,147
10,149
10,230
10,212
10,43
10,88
10,269
10,173
10,187
10,199
10,100
10,131
10,119
10,114
10,157
10,63
10,94
10,126
10,218
10,109
10,159
10,226
10,231
10,388
10,60
10,185
10,293
10,112
10,26
10,81
10,146
23,83
30,735
30,335
30,686
30,862
30,451
30,1061
30,468
30,539
30,382
30,642
30,208
30,609
30,603
30,627
30,958
30,953
30,632
30,1101
30,560
30,568
30,706
30,220
30,979
30,454
30,380
30,1198
30,464
30,694
30,381
30,404
30,393
30,398
30,230
30,502
30,300
30,284
30,612
30,1977
30,507
30,677
30,462
30,621
30,733
30,366
30,1277
30,1001
30,1470
30,563
30,663
30,830
30,425
30,339
30,980
30,989
30,448
30,1006
30,303
30,307
30,697
30,705
30,581
30,829
30,727
30,350
30,417
30,505
30,488
30,695
30,357
30,353
30,436
30,1155
30,959
30,875
30,585
30,571
30,609
30,653
30,1068
30,266
30,787
30,263
30,719
30,464
30,884
30,676
30,742
30,588
30,910
30,497
30,440
30,620
30,343
30,678
30,725
30,645
30,645
30,686
30,306
20,57
27,359
30,7623
30,5898
30,5638
30,8754
30,2749
30,1947
30,10853
30,6051
30,4612
30,4769
30,4119
30,3466
30,3135
30,4763
30,5691
30,5544
30,3294
30,14262
30,6235
30,3075
30,4168
30,3571
30,3946
30,756
30,2069
30,11973
30,6784
30,3349
30,935
30,3123
30,9927
30,6739
30,8456
30,7405
30,5387
30,4789
30,6106
30,7398
30,5712
30,10443
30,7845
30,5608
30,5840
30,6150
30,18264
30,5165
30,3574
30,8587
30,8370
30,4224
30,6261
30,5486
30,10788
30,4018
30,12302
30,4504
30,6515
30,10416
30,3564
30,3535
30,8103
30,5941
30,18147
30,7559
30,5911
30,8104
30,4036
30,5088
30,6594
30,3468
30,6749
30,12188
30,8569
30,17057
30,3692
30,5177
30,11775
30,6188
30,4757
30,8328
30,7144
30,3205
30,13477
30,1014
30,1984
30,492
30,6010
30,5793
30,3882
30,8393
30,6159
30,2853
30,1121
30,6385
30,6591
30,5414
30,4080
30,7731
24,79
29,13452
30,189817
30,363938
30,75383
30,220759
30,72731
30,47022
30,191156
30,35362
30,435463
30,115425
30,37990
30,47304
30,529496
30,226564
30,205978
30,17001
30,144649
30,545459
30,87039
30,58497
30,114181
30,176202
30,135026
30,293607
30,92070
30,194079
30,31702
30,302118
30,103794
30,274609
30,75835
30,46554
30,60944
30,104124
30,218599
30,42645
30,193243
30,153804
30,56058
30,345862
30,208709
30,64055
30,227706
30,77332
