score,geracao
10,241
10,35
10,275
10,153
10,122
10,204
10,179
10,128
10,42
10,59
10,58
10,86
10,101
10,143
10,166
10,52
10,62
10,150
10,77
10,186
10,124
10,167
10,160
10,42
10,343
10,0
10,184
10,66
10,35
10,88
10,133
10,24
10,74
10,142
10,273
10,112
10,189
10,152
10,139
10,21
10,287
10,117
10,170
10,563
10,223
10,172
10,262
10,210
10,141
10,191
10,100
10,112
10,105
10,187
10,186
10,189
10,94
10,197
10,37
10,197
10,51
10,59
10,128
10,156
10,171
10,137
10,37
10,88
10,210
10,60
10,118
10,51
10,75
10,54
10,208
10,112
10,279
10,129
10,128
10,332
10,150
10,215
10,67
10,131
10,134
10,6
10,46
10,67
10,58
10,187
10,98
10,97
10,27
10,94
10,161
10,136
10,192
10,82
10,15
10,92
24,84
30,465
30,331
30,600
30,317
30,791
30,677
30,426
30,623
30,465
30,787
30,525
30,950
30,520
30,459
30,710
30,785
30,558
30,799
30,392
30,306
30,427
30,721
30,939
30,547
30,534
30,455
30,514
30,701
30,837
30,600
30,557
30,589
30,539
30,442
30,558
30,453
30,182
30,753
30,415
30,461
30,816
30,795
30,988
30,408
30,374
30,409
30,510
30,316
30,482
30,902
30,224
30,618
30,443
30,387
30,919
30,430
30,333
30,998
30,534
30,443
30,536
30,510
30,801
30,407
30,376
30,340
30,591
30,586
30,376
30,503
30,511
30,831
30,499
30,424
30,611
30,722
30,695
30,494
30,376
30,434
30,891
30,705
30,599
30,763
30,386
30,528
30,741
30,348
30,562
30,360
30,751
30,541
30,378
30,760
30,489
30,552
30,804
30,641
30,349
25,164
30,7378
30,7726
30,3413
30,15116
30,3614
30,9491
30,4729
30,3224
30,4056
30,4718
30,5133
30,3580
30,2452
30,2304
30,5123
30,6697
30,3334
30,3429
30,6315
30,3842
30,8066
30,1874
30,3531
30,9856
30,881
30,3161
30,5098
30,2458
30,9457
30,2063
30,5737
30,10067
30,4241
30,2912
30,4005
30,11448
30,15410
30,1868
30,3905
30,9367
30,5340
30,6074
30,688
30,4760
30,2320
30,1737
30,12787
30,6642
30,2970
30,3356
30,3524
30,6156
30,5995
30,1007
30,663
30,6341
30,740
30,4751
30,10634
30,6174
30,8340
30,12650
30,5403
30,9965
30,5843
30,8108
30,6122
30,7255
30,10597
30,6625
30,14949
30,5195
30,1586
30,11175
30,8258
30,1389
30,3681
30,5102
30,5311
30,10409
30,1479
30,4557
30,5710
30,5792
30,6414
30,11025
30,1478
30,3238
30,5751
30,4027
30,1485
30,8352
30,8909
30,2402
30,5348
30,1191
30,2874
30,5932
30,7993
24,99
30,110432
30,77008
30,132152
30,56681
30,85656
30,51952
30,257285
30,120599
30,221664
30,168084
30,223831
30,87007
30,202000
30,17393
30,109018
30,211204
30,137710
30,606429
30,75596
30,151983
30,184554
30,134670
30,71520
30,97509
30,209182
30,39411
30,223927
30,113440
30,120586
30,95532
30,325738
30,177732
30,256310
30,312629
30,115772
30,43282
30,30525
30,433919
30,315062
30,157035
30,48565
30,68539
30,173270
30,173817
30,21323
30,207296
30,28982
30,121066
30,257080
30,84716
30,176794
30,152085
30,39513
30,126589
30,109347
30,82317
30,324078
30,26933
30,120448
30,77723
30,107397
30,84434
30,64823
30,104777
30,46002
30,457448
30,88364
30,67553
30,72618
30,108722
30,32353
30,244745
30,52985
30,69530
30,120793
30,133211
30,101397
30,189296
30,84165
30,181298
30,141454
30,88750
30,383967
30,1800
30,379792
30,160040
30,95315
30,78948
30,137604
30,216581
30,44925
30,132237
30,153571
30,58517
30,95785
30,27991
30,129427
30,77692
30,197570
23,49
28,227
30,800
30,318
30,452
30,638
30,341
30,258
30,727
