score,geracao
10,72
10,118
10,244
10,20
10,57
10,105
10,111
10,168
10,152
10,67
10,10
10,27
10,36
10,328
10,192
10,68
10,54
10,150
10,52
10,66
10,75
10,198
10,151
10,55
10,71
10,84
10,227
10,40
10,76
10,163
10,144
10,135
10,48
10,321
10,71
10,235
10,82
10,242
10,267
10,329
10,129
10,62
10,78
10,64
10,238
10,67
10,245
10,144
10,186
10,47
10,17
10,77
10,86
10,232
10,204
10,332
10,143
10,363
10,63
10,74
10,83
10,274
10,353
10,136
10,286
10,83
10,117
10,140
10,101
10,45
10,377
10,147
10,349
10,157
10,21
10,269
10,268
10,51
10,152
10,246
10,91
10,98
10,134
10,68
10,233
10,60
10,144
10,279
10,266
10,79
10,278
10,221
10,45
10,426
10,216
10,120
10,21
10,32
10,110
10,114
24,42
30,671
30,470
30,406
30,581
30,502
30,762
30,266
30,565
30,389
30,267
30,530
30,152
30,458
30,481
30,432
30,328
30,377
30,627
30,391
30,306
30,397
30,244
30,446
30,439
30,385
30,530
30,838
30,338
30,222
30,546
30,355
30,681
30,624
30,326
30,407
30,585
30,305
30,583
30,389
30,474
30,566
30,250
30,526
30,559
30,396
30,377
30,447
30,319
30,506
30,569
30,314
30,725
30,436
30,326
30,567
30,334
30,397
30,241
30,305
30,367
30,318
30,336
30,634
30,612
30,589
30,452
30,394
30,498
30,748
30,606
30,518
30,516
30,407
30,771
30,441
30,484
30,386
30,532
30,391
30,480
30,734
30,574
30,314
30,596
30,490
30,480
30,256
30,490
30,461
30,539
30,561
30,450
30,409
30,294
30,549
30,567
30,159
30,443
30,339
26,265
30,8818
30,3641
30,15477
30,4351
30,4335
30,10902
30,11576
30,2279
30,4893
30,4306
30,5074
30,3422
30,6165
30,8013
30,1828
30,4366
30,2461
30,3501
30,4914
30,4401
30,4478
30,4384
30,5193
30,5350
30,7363
30,2287
30,1034
30,7708
30,8831
30,3521
30,3927
30,5199
30,6614
30,3780
30,7142
30,6461
30,7153
30,5005
30,990
30,8466
30,1119
30,2511
30,4115
30,6218
30,4547
30,3740
30,2518
30,4254
30,4552
30,4216
30,2172
30,9826
30,4971
30,4388
30,3362
30,5665
30,2744
30,4305
30,1568
30,7810
30,4083
30,9178
30,4581
30,3404
30,8164
30,2997
30,2462
30,5430
30,4146
30,4196
30,1409
30,6112
30,1798
30,6169
30,1677
30,6321
30,2243
30,1595
30,534
30,4933
30,9690
30,1312
30,1246
30,3238
30,3379
30,2456
30,12175
30,2649
30,2654
30,3248
30,8148
30,4212
30,9080
30,6578
30,6883
30,4402
30,8275
30,11455
30,4037
25,364
30,29173
30,264157
30,176218
30,235379
30,209407
30,25404
30,288755
30,61729
30,215524
30,54506
30,59935
30,350154
30,366295
30,606320
30,51398
30,157610
30,91766
30,269563
30,213650
30,91187
30,41666
30,255515
30,61946
30,145101
30,24475
30,88512
30,504075
30,112457
30,21723
30,61187
30,14500
30,152293
30,103239
30,269395
30,187721
30,37611
30,11884
30,103425
30,90559
30,92835
30,26385
30,36814
30,49441
30,36523
30,153231
30,160091
30,35816
30,115868
30,100864
30,55795
30,24385
30,25932
30,68762
30,517857
30,102492
30,188028
30,430590
30,189286
30,62704
30,134485
30,25072
30,206291
30,96855
30,221795
30,177638
30,54549
30,241063
30,254863
30,116926
30,200934
30,84133
30,204258
30,36867
30,91267
30,75001
30,121058
30,163413
30,112106
30,47034
30,95908
30,72964
30,94474
30,90696
30,176965
30,235245
30,204568
30,329889
30,36896
30,47066
30,167307
30,140760
30,57475
30,43473
30,7632
30,127594
30,162980
30,37256
30,397554
30,141351
19,40
27,223
30,433
30,552
30,380
30,653
30,438
30,395
30,354
30,357
30,329
30,423
30,461
30,381
30,488
30,364
30,563
30,454
30,492
30,512
30,479
30,256
30,390
30,352
30,495
30,627
30,345
30,567
30,348
30,507
30,378
30,566
30,337
30,443
30,417
30,515
30,328
30,456
30,344
30,227
30,435
30,401
30,422
30,546
30,337
30,471
30,377
30,644
30,445
30,356
30,249
30,474
30,363
30,909
30,510
30,455
30,254
30,406
30,300
30,480
30,413
30,481
30,429
30,475
30,618
30,439
30,485
30,543
30,380
30,649
30,555
30,388
30,676
30,449
30,558
30,425
30,424
30,429
30,335
30,673
30,343
30,321
30,616
30,156
30,620
30,354
30,619
30,436
30,542
30,294
30,408
30,597
30,384
30,447
30,431
30,519
30,213
30,548
30,422
